lat,lon,cdi_value,cdi_class,severity,date
20.125,75.625,-0.18463,None,0,2024-08-21
20.125,75.875,-0.23284,None,0,2024-08-21
20.125,76.125,-0.18731,None,0,2024-08-21
20.125,76.375,0.039357,None,0,2024-08-21
20.125,76.625,0.85869,None,0,2024-08-21
20.125,76.875,0.72164,None,0,2024-08-21
20.125,77.125,0.68825,None,0,2024-08-21
20.125,77.375,0.92108,None,0,2024-08-21
20.125,77.625,1.6354,None,0,2024-08-21
20.125,77.875,0.66805,None,0,2024-08-21
20.375,74.625,-0.17566,None,0,2024-08-21
20.375,74.875,-0.085302,None,0,2024-08-21
20.375,75.125,-0.20146,None,0,2024-08-21
20.375,75.375,-0.1186,None,0,2024-08-21
20.375,75.625,-0.0095865,None,0,2024-08-21
20.375,75.875,0.13092,None,0,2024-08-21
20.375,76.125,0.16614,None,0,2024-08-21
20.375,76.375,0.77701,None,0,2024-08-21
20.375,76.625,0.77934,None,0,2024-08-21
20.375,76.875,0.73559,None,0,2024-08-21
20.375,77.125,0.41639,None,0,2024-08-21
20.375,77.375,0.79844,None,0,2024-08-21
20.375,77.625,0.96993,None,0,2024-08-21
20.375,77.875,1.04,None,0,2024-08-21
